,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
96,1,Chandni Chowk,GEN,Harsh Vardhan,Bharatiya Janata Party,"5,19,055",Jai Parkash Aggarwal,INC,"2,90,910","2,28,145",,Delhi
97,2,North East Delhi,GEN,Manoj Tiwari,Bharatiya Janata Party,"7,87,799",Sheila Dikshit,INC,"4,21,697","3,66,102",,Delhi
98,3,East Delhi,GEN,Gautam Gambhir,Bharatiya Janata Party,"6,96,156",Arvinder Singh Lovely,INC,"3,04,934","3,91,222",,Delhi
99,4,New Delhi,GEN,Meenakshi Lekhi,Bharatiya Janata Party,"5,04,206",Ajay Maken,INC,"2,47,702","2,56,504",,Delhi
100,5,North West Delhi,(SC),Hans Raj Hans,Bharatiya Janata Party,"8,48,663",Gugan Singh Ranga,Aam Aadmi Party,"2,94,766","5,53,897",,Delhi
101,6,West Delhi,GEN,Parvesh Verma,Bharatiya Janata Party,"8,65,648",Mahabal Mishra,INC,"2,87,162","5,78,486",,Delhi
102,7,South Delhi,GEN,Ramesh Bidhuri,Bharatiya Janata Party,"6,87,014",Raghav Chadha,Aam Aadmi Party,"3,19,971","3,67,043",,Delhi
103,1,North Goa,GEN,Shripad Yesso Naik,Bharatiya Janata Party,"2,44,844",Giri Raya Chodankar,INC,"1,64,597","80,247",,Goa
104,2,South Goa,GEN,Francisco Sardinha,INC,"2,01,561",Narendra Keshav Sawaikar,Bharatiya Janata Party,"1,91,806","9,755",,Goa
105,1,Kachchh,(SC),Vinodbhai Chavda,Bharatiya Janata Party,"6,37,034",Naresh Maheshwari,INC,"3,31,521","3,05,513",,Gujarat
106,2,Banaskantha,GEN,Parbatbhai Patel,Bharatiya Janata Party,"6,79,108",Parthibhai Bhatol,INC,"3,10,812","3,68,296",,Gujarat
107,3,Patan,GEN,Bharatsinhji Dabhi Thakor,Bharatiya Janata Party,"6,33,368",Jagdish Thakor,INC,"4,39,489","1,93,879",,Gujarat
108,4,Mahesana,GEN,Shardaben Patel,Bharatiya Janata Party,"6,59,525",A. J. Patel,INC,"3,78,006","2,81,519",,Gujarat
