,Unnamed: 0,State,No,Name,Type,Winning Candidate,Winning Candidate Gender,Winning Party,Winner's Votes,Runner Up Candidate,Runner Up Gender,Runner Up Party,Runner Up Votes,Margin Votes,Year
137,137,Gujarat,18,Godhra,GEN,Solanki Bhupendrasinh Prabhatsinh,M,BJP,280684,Patel Shantilal Parshotamdas,M,INC,185662,95022,1999
138,138,Gujarat,19,Kaira,GEN,Dinsha Patel,M,INC,258024,Chauhan Prabhatsinh Hathisinh,M,BJP,224307,33717,1999
139,139,Gujarat,20,Anand,GEN,Patel Dipakbhai Chimanbhai   (Sathi),M,BJP,273683,Chavda Ishvarbhai Khodabhai,M,INC,270022,3661,1999
140,140,Gujarat,21,Chhota Udaipur,ST,Ramsinh Rathawa,M,BJP,248970,Naranbhai Rathawa,M,INC,247772,1198,1999
141,141,Gujarat,22,Baroda,GEN,Jayaben Thakkar,F,BJP,322758,Dr Urmilaben Chimanbhai Patel,M,INC,230109,92649,1999
142,142,Gujarat,23,Bharuch,GEN,Mansukhbhai Vasava,M,BJP,290195,Amarsinh Ramsinh Vasava,M,INC,243055,47140,1999
143,143,Gujarat,24,Surat,GEN,Kashiram Rana,M,BJP,423773,Rupin Rameshchandra Patchigar,M,INC,174576,249197,1999
144,144,Gujarat,25,Mandvi,ST,Patel Mansinhbhai Kalyanji,M,BJP,320172,Gamit Chhitubhai Devjibhai,M,INC,263341,56831,1999
145,145,Gujarat,26,Bulsar,ST,Manibhai Ramjibhai Chaudhari,M,BJP,300195,Uttambhai Harjibhai Patel,M,INC,273409,26786,1999
146,146,Haryana,1,Ambala,SC,Rattan Lal Kataria,M,BJP,357460,Phool Chand Mullana,M,INC,232982,124478,1999
147,147,Haryana,2,Kurukshetra,GEN,Prof Kailasho Devi,F,INLD,438701,Om Parkash Jindal,M,INC,275091,163610,1999
148,148,Haryana,3,Karnal,GEN,I.D. Swami,M,BJP,433733,Bhajan Lal,M,INC,285879,147854,1999
149,149,Haryana,4,Sonipat,GEN,Kishan Singh Sangwan,M,BJP,457056,Chiranji Lal,M,INC,190918,266138,1999
150,150,Haryana,5,Rohtak,GEN,Inder Singh,M,INLD,366926,Bhupinder Singh,M,INC,222233,144693,1999
151,151,Haryana,6,Faridabad,GEN,Ram Chander Bainda,M,BJP,367842,Zakir Hussain,M,INC,333594,34248,1999
152,152,Haryana,7,Mahendragarh,GEN,Dr. Sudha Yadav,F,BJP,420706,Inderjit Singh,M,INC,281566,139140,1999
153,153,Haryana,8,Bhiwani,GEN,Ajay Singh Chautala,M,INLD,381255,Dharambir,M,INC,177849,203406,1999
154,154,Haryana,9,Hisar,GEN,Surender Singh Barwala,M,INLD,396540,Birender Singh,M,INC,236088,160452,1999
155,155,Haryana,10,Sirsa,SC,Dr. Sushil Kumar Indora,M,INLD,419278,Om Parkash,M,INC,199552,219726,1999
156,156,Himachal Pradesh,1,Shimla,SC,Lt. Col. Dhani Ram Shandil,M,HVC,264002,Gangu Ram Musafir,M,INC,217072,46930,1999
157,157,Himachal Pradesh,2,Mandi,GEN,Maheshwar Singh,M,BJP,325929,Kaul Singh,M,INC,194904,131025,1999
158,158,Himachal Pradesh,3,Kangra,GEN,Shanta Kumar,M,BJP,325066,Sat Mahajan,M,INC,224324,100742,1999
159,159,Himachal Pradesh,4,Hamirpur,GEN,Suresh Chandel,M,BJP,336172,Thakur Ram Lal,M,INC,206925,129247,1999
