,Unnamed: 0.1,Unnamed: 0,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
332,332,332,Tamil Nadu,Arakkonam,SC,S. Jagathrakshakan,DMK,48,563216,L. Vijayan,AIADMK,22,256657,26,306559
333,333,333,Tamil Nadu,Vellore,SC,Kathir Anand,DMK,50,568692,A. C. Shanmugam,BJP,31,352990,19,215702
334,334,334,Tamil Nadu,Krishnagiri,GEN,K. Gopinath,INC,42,492883,V. Jayaprakash,AIADMK,25,300397,16,192486
335,335,335,Tamil Nadu,Dharmapuri,GEN,A. Mani,DMK,34,432667,Sowmiya Anbumani,PMK,32,411367,1,21300
336,336,336,Tamil Nadu,Tiruvannamalai,GEN,C. N. Annadurai,DMK,47,547379,M. Kaliyaperumal,AIADMK,27,313448,20,233931
337,337,337,Tamil Nadu,Arani,GEN,M.S. Tharanivendhan,DMK,43,500099,G. V. Gajendran,AIADMK,25,291333,18,208766
338,338,338,Tamil Nadu,Viluppuram,GEN,D. Ravikumar,VCK,41,477033,J. Bhagyaraj,AIADMK,35,406330,6,70703
339,339,339,Tamil Nadu,Kallakurichi,GEN,Malaiyarasan D,DMK,44,561589,R. Kumaraguru,AIADMK,40,507805,4,53784
340,340,340,Tamil Nadu,Salem,GEN,T. M. Selvaganapathi,DMK,43,566085,P. Vignesh,AIADMK,37,495728,5,70357
341,341,341,Tamil Nadu,Namakkal,GEN,V. S. Matheswaran,DMK,40,462036,S. Tamilmani,AIADMK,37,432924,2,29112
342,342,342,Tamil Nadu,Erode,GEN,K. E. Prakash,DMK,51,562339,Ashok Kumar,AIADMK,29,325773,21,236566
343,343,343,Tamil Nadu,Tiruppur,GEN,K. Subbarayan,CPI,41,472739,P. Arunachalam,AIADMK,30,346811,11,125928
344,344,344,Tamil Nadu,Nilgiris,GEN,A. Raja,DMK,46,473212,L. Murugan,BJP,22,232627,23,240585
